symbol,datetime,open,high,low,close,volume
2382,2026-04-24 09:00:00,210,220,208,218,8000
2382,2026-04-24 10:00:00,218,232,216,230,9000
2382,2026-04-24 11:00:00,230,246,228,244,10000
2382,2026-04-24 12:00:00,244,238,232,236,8500
2382,2026-04-24 13:00:00,236,252,234,250,11000
2382,2026-04-24 14:00:00,250,240,236,238,9000
2382,2026-04-24 15:00:00,238,270,236,268,13000
2382,2026-04-24 16:00:00,268,288,262,285,15000
3017,2026-04-24 09:00:00,660,680,650,670,4000
3017,2026-04-24 10:00:00,670,675,640,650,4500
3017,2026-04-24 11:00:00,650,660,625,632,5000
3017,2026-04-24 12:00:00,632,645,615,624,4200
3017,2026-04-24 13:00:00,624,635,606,610,4900
3017,2026-04-24 14:00:00,610,620,600,605,4300
3017,2026-04-24 15:00:00,605,616,590,596,4800
3017,2026-04-24 16:00:00,596,612,588,610,5200
2330,2026-04-24 09:00:00,860,875,850,870,7000
2330,2026-04-24 10:00:00,870,890,865,885,8000
2330,2026-04-24 11:00:00,885,900,878,896,8500
2330,2026-04-24 12:00:00,896,905,882,890,7600
2330,2026-04-24 13:00:00,890,898,860,868,9200
2330,2026-04-24 14:00:00,868,880,840,850,9700
2330,2026-04-24 15:00:00,850,860,825,835,10000
2330,2026-04-24 16:00:00,835,845,815,820,10500
