symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy
0050,,,,,1,4,1,84169249,2262000,5409137,2026-07-31,TWSE T86 official,official-only,,,57.8,57.8
0051,,,,,0,0,1,-6998,0,20157,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
0052,,,,,2,0,0,29502066,0,-13104455,2026-07-31,TWSE T86 official,official-only,,,44.3,44.3
0053,,,,,0,0,0,-982,0,-22705,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
0055,,,,,1,0,0,1047025,0,-725685,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
0056,,,,,2,0,0,36664666,0,-17614412,2026-07-31,TWSE T86 official,official-only,,,45.2,45.2
0057,,,,,0,0,1,-9993,0,17000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
0061,,,,,1,0,0,693000,0,-510049,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
1101,,,,,5,4,2,2275767,87000,460162,2026-07-31,TWSE T86 official,official-only,,,40.5,40.5
1102,,,,,9,6,5,3285415,34000,61212,2026-07-31,TWSE T86 official,official-only,,,40.7,40.7
1103,,,,,0,0,1,-53497,0,14000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1104,,,,,0,0,1,-63004,0,12976,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1108,,,,,3,0,1,39000,0,4000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1109,,,,,5,0,1,28000,0,3000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1110,,,,,5,0,1,251000,0,4000,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
1201,,,,,0,0,7,-150000,0,4000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1203,,,,,1,0,1,4000,0,3000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1210,,,,,0,6,0,-2642649,7000,-229147,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1215,,,,,0,3,0,-931852,2000,-22370,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1216,,,,,4,1,1,11772272,297433,1180939,2026-07-31,TWSE T86 official,official-only,,,42.5,42.5
1217,,,,,0,0,1,-149000,0,2000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1218,,,,,0,0,1,-1401000,0,5000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1219,,,,,0,0,1,-583957,0,3000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1220,,,,,1,0,1,17000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1225,,,,,0,0,1,-105000,0,5000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1227,,,,,0,4,1,-295477,4000,14000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1229,,,,,0,6,1,-308847,11000,28787,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1231,,,,,0,0,1,-251078,0,1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1232,,,,,0,0,2,-24388,0,2000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1233,,,,,1,0,1,5000,0,2000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1234,,,,,6,0,1,63000,0,21000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1235,,,,,7,0,1,4000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1236,,,,,1,0,0,22230,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1256,,,,,1,0,0,4656,0,-1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1301,,,,,0,0,1,-14589184,0,421894,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1303,0.0,18456,6,1,0,0,0,-2949492,-1000,-11491,2026-07-30,TWSE T86 official + HiStock branch,official+broker,元大-土城永寧、新加坡商瑞銀、華南永昌、元大-松江、元大、凱基-信義、統一、富邦、康和-台中、永豐金,元大-土城永寧,0.0,0.0
1304,,,,,1,0,1,75573,0,191500,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1305,,,,,0,0,1,-178000,0,28000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1307,,,,,2,0,1,282000,0,11950,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
1308,,,,,0,0,1,-567047,0,3655,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1309,,,,,0,0,1,-446576,0,52156,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1310,,,,,0,0,1,-436909,0,71000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1312,,,,,0,0,0,-991796,0,-21055,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1313,,,,,0,0,0,-1605483,0,-27000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1314,,,,,1,0,1,1020556,0,111335,2026-07-31,TWSE T86 official,official-only,,,40.2,40.2
1315,,,,,3,0,1,6119,0,11000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1316,,,,,1,0,3,290000,0,6000,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
1319,,,,,0,1,1,-179893,50000,180227,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1321,,,,,6,0,3,68000,0,12000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1323,,,,,1,0,2,3000,0,11000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1324,,,,,1,0,1,8000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1325,,,,,2,0,2,49937,0,11000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1326,0.0,0,,0,0,0,1,-8348900,0,364556,2026-07-31,TWSE T86 official,degraded,,,0.0,0.0
1337,,,,,0,0,1,-205655,0,4000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1338,,,,,0,0,1,-2000,0,1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1339,,,,,0,0,1,-1117,0,1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1340,,,,,0,0,0,-14000,0,0,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1341,,,,,1,0,0,2000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1342,,,,,0,2,1,-1444308,3000,181,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1402,,,,,10,6,0,13943097,18000,-459738,2026-07-31,TWSE T86 official,official-only,,,42.7,42.7
1409,,,,,0,3,1,-3946987,11000,216011,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1410,,,,,5,0,0,5000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1413,,,,,0,0,1,-4000,0,4670,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1414,,,,,2,0,1,57082,0,3000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1416,,,,,1,0,1,35000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1417,,,,,0,0,1,-5000,0,1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1418,,,,,3,0,1,1000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1419,,,,,0,0,3,-18000,0,3000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1423,,,,,1,0,1,3000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1432,,,,,3,0,1,45000,0,2000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1434,,,,,0,4,6,-2420584,7000,28000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1435,,,,,1,0,0,6000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1436,,,,,3,0,1,37333,0,3000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1437,,,,,6,0,1,47865,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
1438,,,,,0,0,0,-17000,0,-1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
1439,,,,,0,0,0,-3000,0,0,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
