symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy,official_broker_net_buy
0050,,,,,2,6,2,7029157,610000,14315407,2026-08-27,TWSE T86 official,official-only,,,43.2,43.2,
0051,,,,,0,0,2,-1000,0,19001,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
0052,,,,,1,1,3,3316934,50000,1365755,2026-08-27,TWSE T86 official,official-only,,,40.8,40.8,
0053,,,,,2,0,0,1002,0,-13931,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
0055,,,,,0,0,1,-28000,0,8327,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
0056,,,,,2,0,3,6291712,0,20953876,2026-08-27,TWSE T86 official,official-only,,,43.8,43.8,
0057,,,,,1,0,0,1,0,-3000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
0061,,,,,1,0,0,3000,0,-2680,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1101,0.0,0,,0,0,1,2,-12350488,6000,14797,2026-08-27,TWSE T86 official,degraded,,,0.0,0.0,0
1102,,,,,10,0,0,1585686,-6417,-372933,2026-08-27,TWSE T86 official,official-only,,,40.3,40.3,
1103,,,,,0,0,5,-6150,0,3000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1104,,,,,0,1,1,-168215,1000,1852,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1108,,,,,0,0,2,-26000,0,1000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1109,,,,,0,0,2,-81504,0,1000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1110,,,,,3,0,0,11000,0,-8000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1201,,,,,3,0,0,80000,0,-44000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1203,,,,,0,0,0,-3000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1210,,,,,0,1,0,-267000,1000,-27896,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1213,,,,,0,0,0,-1000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1215,,,,,3,1,2,94902,8000,910,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1216,,,,,10,0,0,2443783,-69813,-363297,2026-08-27,TWSE T86 official,official-only,,,40.4,40.4,
1217,,,,,4,0,3,299146,0,2000,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
1218,,,,,0,0,3,-153000,0,1000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1219,,,,,0,0,2,-176799,0,1000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1220,,,,,6,0,2,11964,0,1434,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1225,,,,,0,0,2,-41000,0,975,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1227,,,,,0,1,3,-158432,1000,5000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1229,,,,,9,2,3,811712,3000,12019,2026-08-27,TWSE T86 official,official-only,,,40.2,40.2,
1231,,,,,0,0,2,-13800,0,9238,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1232,,,,,2,0,0,6841,0,-2633,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1233,,,,,0,0,0,-1000,0,-16,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1234,,,,,0,0,1,-9000,0,1000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1235,,,,,2,0,2,16000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1236,,,,,0,0,0,-1024,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1256,,,,,0,0,0,-35029,0,-1193,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1301,0.0,0,,0,3,0,3,21638583,-1000,225071,2026-08-27,TWSE T86 official,degraded,,,44.4,44.4,0
1303,0.0,27249,3,2,3,6,3,146862,4555192,563451,2026-08-27,TWSE T86 official + HiStock branch,official+broker,富邦、美商高盛、凱基-城中、凱基-台北、國票-敦北法人、群益金鼎-台北、國票-安和、統一-城中、永豐金-匯立、國泰,富邦,40.8,40.8,0
1304,,,,,3,0,2,816579,0,144547,2026-08-27,TWSE T86 official,official-only,,,40.2,40.2,
1305,,,,,3,0,2,801357,0,17109,2026-08-27,TWSE T86 official,official-only,,,40.2,40.2,
1307,,,,,3,0,2,328026,-9000,543,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
1308,,,,,2,0,2,499274,0,2704,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
1309,,,,,2,0,3,78247,0,9536,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1310,,,,,2,0,5,1196780,0,9875,2026-08-27,TWSE T86 official,official-only,,,40.2,40.2,
1312,,,,,0,0,0,-95284,0,-289568,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1313,,,,,3,0,3,2217505,0,26399,2026-08-27,TWSE T86 official,official-only,,,40.4,40.4,
1314,,,,,2,0,2,14070653,0,752096,2026-08-27,TWSE T86 official,official-only,,,42.9,42.9,
1315,,,,,2,0,0,13000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1316,,,,,0,0,0,-728353,0,-14117,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1319,,,,,0,0,4,-118626,-3000,9617,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1321,,,,,7,0,3,23000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1323,,,,,0,0,0,-1000,0,-7000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1324,,,,,2,0,1,1000,0,450,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1325,,,,,3,0,1,74000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1326,,,,,3,0,3,11401247,0,763225,2026-08-27,TWSE T86 official,official-only,,,42.4,42.4,
1337,,,,,10,0,2,152210,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1338,,,,,0,0,0,0,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1339,,,,,0,0,0,-110002,0,-4404,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1340,,,,,1,0,3,5000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1341,,,,,0,0,1,0,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1342,,,,,1,0,0,22177,-1000,-2050,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1402,,,,,0,0,0,-973000,-65149,-19311,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1409,,,,,1,1,10,3427608,2000,182453,2026-08-27,TWSE T86 official,official-only,,,40.7,40.7,
1410,,,,,1,0,0,7000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1413,,,,,0,0,0,-2000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1414,,,,,10,0,0,36850,0,-2000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1416,,,,,3,0,0,43646,0,-5,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1417,,,,,2,0,2,15999,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1418,,,,,8,0,0,1000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1419,,,,,0,0,0,-23066,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1423,,,,,3,0,0,7000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1432,,,,,1,0,0,6008,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1434,,,,,2,1,3,1736566,1000,20883,2026-08-27,TWSE T86 official,official-only,,,40.3,40.3,
1435,,,,,4,0,0,5000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1436,,,,,9,0,0,43000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1437,,,,,0,0,2,-17000,0,1000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1438,,,,,6,0,1,15000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1439,,,,,0,0,2,-5000,0,1000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1440,,,,,3,1,2,759602,2000,54843,2026-08-27,TWSE T86 official,official-only,,,40.2,40.2,
1441,,,,,2,0,1,2000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1442,,,,,1,0,3,64480,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1443,,,,,3,0,2,2000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1444,,,,,0,0,3,-145768,-15000,4000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1445,,,,,2,0,2,33000,0,2000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1446,,,,,1,0,0,15000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1447,,,,,2,0,3,307161,-12000,3000,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
1449,,,,,0,0,0,-7000,0,-8190,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1451,,,,,1,0,0,8000,0,-29000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1452,,,,,0,0,0,-1000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1453,,,,,7,0,0,4000,0,-10026,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1454,,,,,0,0,0,0,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1455,,,,,2,0,0,194070,0,-23000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1456,,,,,1,0,0,14000,0,-1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1457,,,,,0,0,2,-46000,0,2000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1459,,,,,0,0,0,-90466,0,-14000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
1460,,,,,2,0,3,68000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1463,,,,,2,0,0,5000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
1464,,,,,9,0,0,33000,0,-10000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
