symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers
5285.TW,界霖,半導體業,chip_watch,False,True,True,momentum-fallback,0.30190957021104997,100.0,55.5,54.0,50.0,76.4,88.4000015258789,115.08880799321317,無即時資料,研究重點,風險穩定,40.0,,7.0,,,2026-06-16,TWSE T86 official,official-only,
8104.TW,錸寶,光電業,chip_watch,False,True,True,momentum-fallback,0.08364464467594111,100.0,50.0,52.0,50.0,74.9,40.599998474121094,43.9959709203327,無即時資料,研究重點,風險穩定,40.1,,4.0,,,2026-06-16,TWSE T86 official,official-only,
2103.TW,台橡,橡膠工業,chip_watch,False,True,True,momentum-fallback,0.12893260477653146,100.0,50.0,48.0,50.0,74.1,21.399999618530273,24.159157311564158,無即時資料,研究重點,風險穩定,40.1,,5.0,,,2026-06-16,TWSE T86 official,official-only,
2637.TW,慧洋-KY,航運業,chip_watch,False,True,True,momentum-fallback,0.07645012766267296,95.87007659760377,50.0,50.0,50.0,72.84803063904151,77.5999984741211,83.53252826409089,無即時資料,研究重點,風險穩定,40.0,,6.0,,,2026-06-16,TWSE T86 official,official-only,
1305.TW,華夏,塑膠工業,chip_watch,False,True,True,momentum-fallback,0.0559306821208542,83.55840927251252,50.0,66.0,50.0,71.12336370900502,12.800000190734863,13.515912932549728,無即時資料,研究重點,風險穩定,40.1,,3.0,,,2026-06-16,TWSE T86 official,official-only,
6277.TW,宏正,電腦及週邊設備業,chip_watch,False,True,True,momentum-fallback,0.05253730943666889,81.52238566200134,50.0,46.0,50.0,66.30895426480055,72.5999984741211,76.41420705905767,無即時資料,等待確認,風險穩定,40.0,,7.0,,,2026-06-16,TWSE T86 official,official-only,
6505.TW,台塑化,油電燃氣業,chip_watch,False,True,True,momentum-fallback,0.03909695500996167,73.458173005977,50.0,50.0,50.0,63.88326920239081,52.70000076293945,54.76041032179304,無即時資料,等待確認,風險穩定,40.2,,3.0,,,2026-06-16,TWSE T86 official,official-only,
1531.TW,高林股,電機機械,chip_watch,False,True,True,momentum-fallback,0.031144072950588294,68.68644377035298,50.0,50.0,50.0,61.974577508141195,12.850000381469727,13.250201730765307,無即時資料,觀察,風險穩定,40.0,,3.0,,,2026-06-16,TWSE T86 official,official-only,
2007.TW,燁興,鋼鐵工業,chip_watch,False,True,True,momentum-fallback,0.015490312151388219,59.29418729083293,50.0,50.0,50.0,54.740412614493806,7.5,7.616177341135412,無即時資料,觀察,風險穩定,40.0,,3.0,,,2026-06-16,TWSE T86 official,official-only,
9105.TW,泰金寶-DR,存託憑證,chip_watch,False,True,False,momentum-fallback,0.1180804481160848,100.0,50.0,50.0,50.0,74.5,9.529999732971191,10.6553063719866,無即時資料,研究重點,風險穩定,0.0,0.0,0.0,0.0,,2026-06-16,TWSE T86 official,degraded,
