entry_date,symbol,kronos_score,news_score,technical_score,realtime_score,confidence_score,chip_score
2026-07-14,2105.TW,69.0497677182456,50.2,50.0,45.73820395738196,75.0,55.5
2026-07-14,2889.TW,77.56761475055973,50.2,50.0,43.37539432176652,75.0,0.0
2026-07-14,2884.TW,55.47147004500679,50.2,42.0,47.976878612716746,75.0,56.5
2026-07-14,2618.TW,62.688524820075784,50.2,42.0,50.85889570552147,75.0,19.1
2026-07-14,2887.TW,19.761255912377095,50.2,28.0,44.125874125874155,75.0,4.0
2026-07-14,2409.TW,13.801568166011165,50.2,28.0,9.316239316239304,75.0,2.0
2026-07-14,2332.TW,0.0,50.2,50.0,0.0,75.0,2.0
2026-07-15,2409.TW,100.0,50.0,46.0,69.05626134301272,75.0,2.0
2026-07-15,2883.TW,95.47403877060967,50.0,30.0,65.42372881355931,75.0,9.0
2026-07-15,9907.TW,67.9193531869208,50.0,56.0,54.60526315789487,75.0,49.6
2026-07-15,2520.TW,41.60491614277106,50.0,50.0,77.00000000000009,75.0,52.2
2026-07-15,1434.TW,0.0,50.0,42.0,97.8142076502732,75.0,53.0
2026-07-15,2329.TW,100.0,50.0,42.0,50.0,75.0,43.3
2026-07-15,3041.TW,85.03678112372168,50.0,50.0,50.0,75.0,43.0
2026-07-15,2609.TW,68.01500635010309,50.0,50.0,82.08333333333337,75.0,45.3
2026-07-15,2887.TW,37.04997390388396,50.0,54.0,63.822284908321556,75.0,4.0
2026-07-15,2610.TW,30.978840486820157,50.0,42.0,77.45098039215692,75.0,9.0
2026-07-15,2618.TW,20.987830075379875,50.0,52.0,73.16176470588243,75.0,19.1
2026-07-15,2887.TW,79.18468051410508,50.0,54.0,63.822284908321556,75.0,4.0
2026-07-15,6443.TW,100.0,50.0,38.0,61.70568561872909,75.0,49.1
2026-07-15,2520.TW,48.18531642679027,50.0,50.0,77.00000000000009,75.0,52.2
2026-07-15,1434.TW,0.0,50.0,42.0,97.8142076502732,75.0,53.0
2026-07-15,6005.TW,97.25591316862267,50.0,42.0,56.158357771260995,75.0,0.0
2026-07-15,2609.TW,62.4265053368906,50.0,50.0,82.08333333333337,75.0,45.3
2026-07-15,2884.TW,40.78260644250864,50.0,30.0,48.98550724637687,75.0,15.0
2026-07-15,2610.TW,18.370906600559643,50.0,42.0,77.45098039215692,75.0,9.0
2026-07-15,2618.TW,9.962024984229842,50.0,52.0,73.16176470588243,75.0,19.1
2026-07-15,2883.TW,12.496363227001119,50.0,30.0,65.42372881355931,75.0,9.0
2026-07-16,1402.TW,73.79679573654055,50.7,46.0,56.35208711433752,75.0,51.7
2026-07-16,2002.TW,80.53046411272669,50.7,52.0,55.630026809651476,75.0,52.1
2026-07-16,2014.TW,76.58690048159467,50.7,38.0,60.086455331412125,75.0,50.0
2026-07-16,9945.TW,65.8312491613171,50.7,54.0,61.93181818181821,75.0,49.4
2026-07-16,2633.TW,68.88590269487574,50.7,44.0,55.39499036608868,75.0,49.3
2026-07-16,6177.TW,54.279708862304645,50.7,54.0,66.41791044776122,75.0,52.1
2026-07-16,2105.TW,40.5961968320161,50.7,49.0,64.91628614916279,75.0,56.9
2026-07-16,2369.TW,100.0,50.7,42.0,50.0,75.0,43.0
2026-07-16,2610.TW,76.63379699549688,50.7,42.0,40.09433962264147,75.0,12.0
2026-07-16,2884.TW,35.6645869098396,50.7,66.0,59.143686502177005,75.0,56.6
2026-07-16,2887.TW,26.96891660280698,50.7,50.0,50.0,75.0,4.0
2026-07-16,2618.TW,27.8881035529124,50.7,32.0,45.84816132858839,75.0,15.0
2026-07-16,2014.TW,86.19460547632292,50.2,38.0,60.086455331412125,75.0,50.0
2026-07-16,9933.TW,75.51690317634328,50.2,54.0,51.719901719901614,75.0,49.0
2026-07-16,2002.TW,72.11954328332229,50.2,52.0,55.630026809651476,75.0,52.1
2026-07-16,2105.TW,26.10534977477368,50.2,49.0,64.91628614916279,75.0,56.9
2026-07-16,2369.TW,100.0,50.2,42.0,50.0,75.0,43.0
2026-07-16,8110.TW,100.0,50.2,42.0,50.0,75.0,0.0
2026-07-16,2884.TW,31.940830440976775,50.2,66.0,59.143686502177005,75.0,56.6
2026-07-16,2883.TW,33.56587170704526,50.2,50.0,59.28689883913776,75.0,12.0
2026-07-16,2610.TW,40.071729999008014,50.2,42.0,40.09433962264147,75.0,12.0
2026-07-16,2887.TW,33.36393181199908,50.2,50.0,50.0,75.0,4.0
2026-07-16,1402.TW,17.35967917022925,50.2,46.0,56.35208711433752,75.0,51.7
