symbol,name,industry,screening_bucket,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note
6016.TWO,康和證,上櫃,revised,momentum-fallback,0.3729720010187389,100.0,54.9,75,50.0,80.48,29.350000381469727,40.296728753647244,無即時資料,研究重點,風險穩定
5864.TWO,致和證,上櫃,legacy_watch,momentum-fallback,0.8661867618744774,100.0,54.9,61.0,50.0,77.68,49.400001525878906,92.1896288841742,無即時資料,研究重點,風險穩定
5483.TWO,中美晶,上櫃,legacy_watch,momentum-fallback,0.39452924247096305,100.0,54.9,53.0,50.0,76.08000000000001,174.5,243.34535281118303,無即時資料,研究重點,風險穩定
3357.TWO,臺慶科,上櫃,legacy_watch,momentum-fallback,0.4713941535496306,100.0,54.9,50.0,50.0,75.48,322.0,473.7889174429811,無即時資料,研究重點,風險穩定
5328.TWO,華容,上櫃,legacy_watch,momentum-fallback,0.5536610408546538,100.0,54.9,50.0,50.0,75.48,46.54999923706055,72.32292026643483,無即時資料,研究重點,風險穩定
5351.TWO,鈺創,上櫃,legacy_watch,momentum-fallback,0.5034118860041319,100.0,54.9,50.0,50.0,75.48,90.30000305175781,135.7580978942221,無即時資料,研究重點,風險穩定
8043.TWO,蜜望實,上櫃,legacy_watch,momentum-fallback,0.5801218438647693,100.0,54.9,50.0,50.0,75.48,202.5,319.9746733826158,無即時資料,研究重點,風險穩定
8182.TWO,加高,上櫃,legacy_watch,momentum-fallback,0.5392781941841839,100.0,54.9,50.0,50.0,75.48,55.70000076293945,85.7377965904351,無即時資料,研究重點,風險穩定
3260.TWO,威剛,上櫃,legacy_watch,momentum-fallback,0.49571960297766754,100.0,54.9,46.0,50.0,74.68,423.0,632.6893920595534,無即時資料,研究重點,風險穩定
3290.TWO,東浦,上櫃,legacy_watch,momentum-fallback,0.3013307000019927,100.0,54.9,42.0,50.0,73.88,61.599998474121094,80.16196913444969,無即時資料,研究重點,技術結構偏空
6147.TWO,頎邦,上櫃,revised,momentum-fallback,1.1817141545225631,100.0,54.9,42.0,50.0,73.88,234.5,511.61196923554104,無即時資料,研究重點,技術結構偏空
3221.TWO,台嘉碩,上櫃,legacy_watch,momentum-fallback,0.7894979390142804,100.0,54.9,40.0,50.0,73.48,63.599998474121094,113.81206619075108,無即時資料,研究重點,風險穩定
5425.TWO,台半,上櫃,legacy_watch,momentum-fallback,0.34565221727068296,100.0,54.9,40.0,50.0,73.48,100.5,135.23804783570364,無即時資料,研究重點,技術結構偏空
6265.TWO,方土昶,上櫃,legacy_watch,momentum-fallback,0.7627618194844031,100.0,54.9,40.0,50.0,73.48,58.29999923706055,102.76901273106017,無即時資料,研究重點,風險穩定
5347.TWO,世界,上櫃,legacy_watch,momentum-fallback,0.3813795966728302,100.0,54.9,38.0,50.0,73.08000000000001,173.5,239.66936002273604,無即時資料,研究重點,技術結構偏空
1785.TWO,光洋科,上櫃,legacy_watch,momentum-fallback,0.5214348206474191,100.0,54.9,33.0,50.0,72.08000000000001,145.0,220.60804899387577,無即時資料,研究重點,技術結構偏空
3441.TWO,聯一光,上櫃,legacy_watch,momentum-fallback,0.5333243555785383,100.0,54.9,32.0,50.0,71.88,73.80000305175781,113.1593421210307,無即時資料,研究重點,技術結構偏空
8936.TWO,國統,上櫃,legacy_watch,momentum-fallback,0.009893456457076687,55.93607387424601,54.9,50.0,50.0,53.04700410799445,58.20000076293945,58.775799936289424,無即時資料,觀察,風險穩定
