symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry
2609.TW,陽明,航運業,chip_watch,True,False,True,kronos,0.10002927131753125,100.0,51.7,54.0,65.42372881355931,75.0,69.49737288135594,60.29999923706055,66.3317642211914,盤中強勢,等待確認,風險穩定,,,0.0,35181.0,5.0,2.0,美商高盛,2026-08-19,TWSE T86 official + HiStock branch,official+broker,美商高盛、台灣摩根士丹利、美林、港商麥格理、摩根大通、台新-虎尾、元大、兆豐-復興、港商野村、台新,False,False
6770.TW,力積電,半導體業,chip_watch,True,False,True,kronos,0.060587139131355494,86.35228347881329,52.0,64.0,57.35735735735739,75.0,64.45903495332038,67.30000305175781,71.37751770019531,小幅走強,等待確認,風險穩定,,,0.0,6308.0,0.0,2.0,美商高盛,2026-08-19,TWSE T86 official + HiStock branch,official+broker,美商高盛、國泰-敦南、富邦-永和、合庫-西台中、元大-蘆洲、富邦-中壢、國泰-台中、富邦-仁愛、第一金-新興、華南永昌-台南,False,False
2408.TW,南亞科,半導體業,chip_watch,True,False,True,kronos,0.02921966611762583,67.5317996705755,52.0,47.0,100.0,75.0,59.036129884701424,517.0,532.1065673828125,盤中強勢,觀察,風險穩定,,,0.0,2539.0,1.0,2.0,永豐金,2026-08-19,TWSE T86 official + HiStock branch,official+broker,永豐金、國泰-敦南、港商麥格理、元大-信義、凱基、永豐金-市政、群益金鼎、國泰-台中、玉山-桃園、富邦-台北,False,False
2383.TW,台光電,電子零組件業,chip_watch,False,False,True,kronos,0.09678558375104429,100.0,51.7,40.0,62.49999999999996,75.0,70.015,5985.0,6564.26171875,盤中強勢,研究重點,風險穩定,,,40.1,,5.0,,,2026-08-20,TWSE T86 official,official-only,,False,False
3037.TW,欣興,電子零組件業,chip_watch,False,False,True,kronos,0.17569012558251096,100.0,51.7,40.0,56.194690265486734,75.0,69.39446902654868,1140.0,1340.2867431640625,小幅走強,等待確認,風險穩定,,,40.2,,9.0,,,2026-08-20,TWSE T86 official,official-only,,False,False
2101.TW,南港,橡膠工業,chip_watch,False,False,True,kronos,0.06708746398681753,90.25247839209052,51.7,46.0,61.91950464396299,75.0,67.45531790162799,32.849998474121094,35.0538215637207,盤中強勢,等待確認,風險穩定,,,40.2,,4.0,,,2026-08-20,TWSE T86 official,official-only,,False,False
4960.TW,誠美材,光電業,chip_watch,False,False,True,kronos,0.05792803880645003,84.75682328387002,51.7,44.0,65.71072319201998,75.0,65.80096046855651,20.5,21.687524795532227,盤中強勢,等待確認,風險穩定,,,40.1,,5.0,,,2026-08-20,TWSE T86 official,official-only,,False,False
6949.TW,沛爾生醫-創,生技醫療業,chip_watch,False,False,True,kronos,0.05696961805555545,84.18177083333327,51.7,40.0,75.80645161290327,75.0,65.79926495295697,1125.0,1189.0908203125,盤中強勢,等待確認,風險穩定,,,40.0,,9.0,,,2026-08-20,TWSE T86 official,official-only,,False,False
1402.TW,遠東新,紡織纖維,chip_confirmed,False,False,True,kronos,0.0013573528614474473,50.81441171686847,51.7,69.0,80.00000000000006,75.0,60.49004410090397,29.200000762939453,29.239635467529297,盤中強勢,觀察,風險穩定,28.049999237060547,29.499998092651367,44.5,,4.0,,,2026-08-20,TWSE T86 official,official-only,,False,False
1795.TW,美時,生技醫療業,chip_watch,False,False,True,kronos,0.02498873197115392,64.99323918269235,51.7,45.0,81.9034852546917,75.0,60.402982239411486,195.0,199.872802734375,盤中強勢,觀察,風險穩定,,,40.1,,4.0,,,2026-08-20,TWSE T86 official,official-only,,False,False
