symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,official_broker_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry,dip_reversal
1101.TW,台泥,水泥工業,chip_watch,True,False,True,kronos,0.0049291016628914,52.95746099773484,51.1,69.0,75.81967213114753,75.0,55.79207856232194,25.299999237060547,25.424705505371094,盤中強勢,觀察,風險穩定,,,0.1,315822.0,0.0,1.0,2.0,台灣摩根士丹利,2026-08-31,TWSE T86 official + HiStock branch,official+broker,台灣摩根士丹利、美商高盛、美林、摩根大通、港商麥格理、台中銀-員林、台新-中港、富邦-竹北、富邦、犇亞-鑫豐,False,True,False
2891.TW,中信金,金融保險業,chip_watch,False,False,True,kronos,0.05834708536477917,85.0082512188675,51.1,61.0,69.47449768160732,75.0,69.16533769476436,66.5,70.38008117675781,盤中強勢,等待確認,風險穩定,,,42.0,,,3.0,,,2026-09-01,TWSE T86 official,official-only,,False,True,False
2312.TW,金寶,其他電子業,chip_watch,False,False,True,kronos,0.04622512901006348,77.73507740603809,51.1,54.0,65.14683153013894,75.0,65.27696024512723,33.04999923706055,34.57773971557617,盤中強勢,等待確認,風險穩定,,,40.9,,,5.0,,,2026-09-01,TWSE T86 official,official-only,,False,True,False
2303.TW,聯電,半導體業,chip_watch,True,False,True,kronos,0.02899388727152119,67.39633236291272,54.3,50.0,68.99224806201553,75.0,56.332941133221006,132.5,136.34169006347656,盤中強勢,觀察,風險穩定,,,0.0,36607.0,1104.0,0.0,1.0,美林,2026-08-31,TWSE T86 official + HiStock branch,official+broker,美林、國泰、群益金鼎、台新、永豐金、凱基、兆豐、國泰-敦南、玉山、中國信託,False,False,False
7610.TW,聯友金屬-創,綠能環保,chip_watch,False,False,True,kronos,0.09340417214271812,100.0,51.1,50.0,96.51162790697674,75.0,74.71616279069768,1605.0,1754.9136962890625,盤中強勢,研究重點,風險穩定,,,40.0,,,3.0,,,2026-09-01,TWSE T86 official,official-only,,False,False,False
6442.TW,光聖,通信網路業,chip_watch,False,False,True,kronos,0.19579786948107802,100.0,51.1,54.0,52.14723926380367,75.0,71.07972392638038,1635.0,1955.1295166015625,小幅走強,研究重點,風險穩定,,,40.0,,,3.0,,,2026-09-01,TWSE T86 official,official-only,,False,False,False
3023.TW,信邦,電子零組件業,chip_watch,False,False,True,kronos,0.11182365417480478,100.0,51.1,42.0,66.80000000000001,75.0,70.45500000000001,320.0,355.7835693359375,盤中強勢,研究重點,技術結構偏空,,,40.1,,,4.0,,,2026-09-01,TWSE T86 official,official-only,,False,False,False
6706.TW,惠特,光電業,chip_watch,False,False,True,kronos,0.08513407068928402,100.0,51.1,40.0,72.7642276422764,75.0,70.35142276422764,127.0,137.81202697753906,盤中強勢,研究重點,技術結構偏空,,,40.1,,,3.0,,,2026-09-01,TWSE T86 official,official-only,,False,False,False
4722.TW,國精化,化學工業,chip_watch,False,False,True,kronos,0.21943884629469657,100.0,51.1,46.0,50.0,75.0,69.86500000000001,208.0,253.64328002929688,持平,等待確認,風險穩定,,,40.0,,,6.0,,,2026-09-01,TWSE T86 official,official-only,,False,False,False
2367.TW,燿華,電子零組件業,chip_watch,False,False,True,kronos,0.09770819147472865,100.0,51.1,40.0,53.14960629921251,75.0,68.38996062992125,44.650001525878906,49.012672424316406,小幅走強,等待確認,風險穩定,,,40.1,,,3.0,,,2026-09-01,TWSE T86 official,official-only,,False,False,False
1722.TW,台肥,化學工業,chip_watch,False,False,True,kronos,0.05463022214096358,82.77813328457815,51.1,50.0,51.571268237934895,75.0,64.23447347339584,44.650001525878906,47.08924102783203,持平,等待確認,風險穩定,,,40.4,,,3.0,,,2026-09-01,TWSE T86 official,official-only,,False,False,False
2883.TW,凱基金,17,chip_watch,False,False,True,kronos,0.023832307003336606,64.29938420200196,51.1,61.0,72.74741506646976,75.0,58.64452597734766,34.95000076293945,35.78293991088867,盤中強勢,觀察,風險穩定,,,0.0,0.0,0.0,6.0,0.0,,2026-09-01,TWSE T86 official,degraded,,False,False,False
1308.TW,亞聚,塑膠工業,chip_watch,False,False,True,kronos,0.017645934532428686,60.587560719457215,51.1,46.0,54.86111111111109,75.0,56.55675736292113,14.5,14.755866050720215,小幅走強,觀察,風險穩定,,,40.0,,,5.0,,,2026-09-01,TWSE T86 official,official-only,,False,False,False
3045.TW,台灣大,通信網路業,chip_watch,False,False,True,kronos,0.006005159188142484,53.60309551288549,51.1,54.0,46.982758620689665,75.0,54.95435929157889,115.5,116.19359588623047,小幅走弱,觀察,風險穩定,,,40.3,,,10.0,,,2026-09-01,TWSE T86 official,official-only,,False,False,False
8150.TW,南茂,半導體業,legacy_watch,True,False,False,kronos,0.12558679623540114,100.0,54.3,40.0,50.0,75.0,68.30499999999999,93.19999694824219,104.9046859741211,無即時資料,等待確認,技術結構偏空,,,43.6,,,1.0,,,2026-09-01,TWSE T86 official,official-only,,False,False,False
